index=566, ans=true, vars=44436, clauses=268495
index=567, ans=false, vars=39336, clauses=254533
index=568, ans=false, vars=17992, clauses=137440
index=569, ans=false, vars=41996, clauses=255101
index=570, ans=false, vars=9662, clauses=94744
index=571, ans=false, vars=27500, clauses=187879
index=572, ans=true, vars=52497, clauses=300102
index=573, ans=true, vars=79141, clauses=426200
index=574, ans=false, vars=49098, clauses=286564
index=575, ans=false, vars=31421, clauses=214685
index=576, ans=false, vars=27768, clauses=193983
index=577, ans=false, vars=48836, clauses=291228
index=578, ans=true, vars=23967, clauses=176006
index=579, ans=false, vars=31035, clauses=212050
index=580, ans=false, vars=24003, clauses=187063
index=581, ans=false, vars=13296, clauses=141108
index=582, ans=false, vars=30826, clauses=200563
index=583, ans=false, vars=18993, clauses=164889
index=584, ans=false, vars=40306, clauses=246877
index=585, ans=true, vars=65980, clauses=369033
index=586, ans=false, vars=12909, clauses=125975
index=587, ans=false, vars=23626, clauses=183649
index=588, ans=false, vars=24343, clauses=175489
index=589, ans=true, vars=11896, clauses=107062
index=590, ans=true, vars=51802, clauses=316676
index=591, ans=false, vars=57670, clauses=323501
index=592, ans=true, vars=73706, clauses=375240
index=593, ans=false, vars=64374, clauses=368096
index=594, ans=true, vars=65553, clauses=354690
index=595, ans=false, vars=11565, clauses=92854
index=596, ans=false, vars=63108, clauses=333369
index=597, ans=false, vars=55777, clauses=325316
index=598, ans=false, vars=19218, clauses=163912
index=599, ans=true, vars=33772, clauses=207078
index=600, ans=true, vars=74418, clauses=401403
index=601, ans=false, vars=47077, clauses=288869
index=602, ans=false, vars=51158, clauses=321808
index=603, ans=false, vars=51402, clauses=315126
index=604, ans=true, vars=17958, clauses=154376
index=605, ans=true, vars=27678, clauses=208553
index=606, ans=false, vars=46188, clauses=286709
index=607, ans=false, vars=50657, clauses=309938
index=608, ans=false, vars=67445, clauses=374182
index=609, ans=true, vars=44564, clauses=268329
index=610, ans=true, vars=41940, clauses=254914
index=611, ans=true, vars=42283, clauses=265778
index=612, ans=false, vars=47339, clauses=301757
index=613, ans=true, vars=67161, clauses=388893
index=614, ans=false, vars=20200, clauses=153939
index=615, ans=false, vars=51544, clauses=299434
index=616, ans=false, vars=24916, clauses=157423
index=617, ans=false, vars=29756, clauses=203237
index=618, ans=true, vars=47744, clauses=308902
index=619, ans=true, vars=70040, clauses=396258
index=620, ans=false, vars=40997, clauses=258892
index=621, ans=false, vars=21615, clauses=160922
index=622, ans=true, vars=39228, clauses=235408
index=623, ans=false, vars=34946, clauses=203274
index=624, ans=false, vars=35685, clauses=224735
index=625, ans=true, vars=39615, clauses=260045
index=626, ans=false, vars=37320, clauses=246776
index=627, ans=false, vars=41334, clauses=263685
index=628, ans=false, vars=23693, clauses=187769
index=629, ans=false, vars=47004, clauses=294233
index=630, ans=false, vars=30970, clauses=209139
index=631, ans=false, vars=37781, clauses=233659
index=632, ans=false, vars=44843, clauses=282895
index=633, ans=false, vars=37236, clauses=221895
index=634, ans=true, vars=26204, clauses=197874
index=635, ans=false, vars=59747, clauses=354428
